Flight,Constellation,Trial,Trajectory,Model,Task,Metric,Value,Unit,Status,SourceArtifact
const4-trial3-traj2,const4,trial3,traj2,cnn1,tdoa,rmse_m,0.3492,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial3-traj2,const4,trial3,traj2,cnn2,tdoa,rmse_m,0.3585,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial3-traj3,const4,trial3,traj3,raw,tdoa,rmse_m,0.4541,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial3-traj3,const4,trial3,traj3,fnn,tdoa,rmse_m,0.352,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial3-traj3,const4,trial3,traj3,cnn1,tdoa,rmse_m,0.3564,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial3-traj3,const4,trial3,traj3,cnn2,tdoa,rmse_m,0.3632,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj1,const4,trial4,traj1,raw,tdoa,rmse_m,0.489,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj1,const4,trial4,traj1,fnn,tdoa,rmse_m,0.3481,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj1,const4,trial4,traj1,cnn1,tdoa,rmse_m,0.3414,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj1,const4,trial4,traj1,cnn2,tdoa,rmse_m,0.354,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj2,const4,trial4,traj2,raw,tdoa,rmse_m,0.4885,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj2,const4,trial4,traj2,fnn,tdoa,rmse_m,0.3542,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj2,const4,trial4,traj2,cnn1,tdoa,rmse_m,0.3496,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj2,const4,trial4,traj2,cnn2,tdoa,rmse_m,0.3603,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj3,const4,trial4,traj3,raw,tdoa,rmse_m,0.4638,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj3,const4,trial4,traj3,fnn,tdoa,rmse_m,0.3563,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj3,const4,trial4,traj3,cnn1,tdoa,rmse_m,0.3517,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial4-traj3,const4,trial4,traj3,cnn2,tdoa,rmse_m,0.3625,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj1,const4,trial5,traj1,raw,tdoa,rmse_m,0.3524,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj1,const4,trial5,traj1,fnn,tdoa,rmse_m,0.2833,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj1,const4,trial5,traj1,cnn1,tdoa,rmse_m,0.2817,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj1,const4,trial5,traj1,cnn2,tdoa,rmse_m,0.2887,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj2,const4,trial5,traj2,raw,tdoa,rmse_m,0.3672,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj2,const4,trial5,traj2,fnn,tdoa,rmse_m,0.3059,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj2,const4,trial5,traj2,cnn1,tdoa,rmse_m,0.3007,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj2,const4,trial5,traj2,cnn2,tdoa,rmse_m,0.3119,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj3,const4,trial5,traj3,raw,tdoa,rmse_m,0.3185,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj3,const4,trial5,traj3,fnn,tdoa,rmse_m,0.2618,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj3,const4,trial5,traj3,cnn1,tdoa,rmse_m,0.26,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial5-traj3,const4,trial5,traj3,cnn2,tdoa,rmse_m,0.2772,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj1,const4,trial6,traj1,raw,tdoa,rmse_m,0.3968,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj1,const4,trial6,traj1,fnn,tdoa,rmse_m,0.2938,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj1,const4,trial6,traj1,cnn1,tdoa,rmse_m,0.2933,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj1,const4,trial6,traj1,cnn2,tdoa,rmse_m,0.3,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj2,const4,trial6,traj2,raw,tdoa,rmse_m,0.3719,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj2,const4,trial6,traj2,fnn,tdoa,rmse_m,0.2921,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj2,const4,trial6,traj2,cnn1,tdoa,rmse_m,0.2841,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj2,const4,trial6,traj2,cnn2,tdoa,rmse_m,0.2988,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj3,const4,trial6,traj3,raw,tdoa,rmse_m,0.3953,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj3,const4,trial6,traj3,fnn,tdoa,rmse_m,0.3099,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj3,const4,trial6,traj3,cnn1,tdoa,rmse_m,0.3035,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial6-traj3,const4,trial6,traj3,cnn2,tdoa,rmse_m,0.3127,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manula1,const4,trial7,manula1,raw,tdoa,rmse_m,0.4804,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manula1,const4,trial7,manula1,fnn,tdoa,rmse_m,0.3701,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manula1,const4,trial7,manula1,cnn1,tdoa,rmse_m,0.3619,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manula1,const4,trial7,manula1,cnn2,tdoa,rmse_m,0.3776,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual2,const4,trial7,manual2,raw,tdoa,rmse_m,0.6003,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual2,const4,trial7,manual2,fnn,tdoa,rmse_m,0.4461,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual2,const4,trial7,manual2,cnn1,tdoa,rmse_m,0.4399,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual2,const4,trial7,manual2,cnn2,tdoa,rmse_m,0.4511,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual3,const4,trial7,manual3,raw,tdoa,rmse_m,0.4053,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual3,const4,trial7,manual3,fnn,tdoa,rmse_m,0.3187,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual3,const4,trial7,manual3,cnn1,tdoa,rmse_m,0.2996,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial7-manual3,const4,trial7,manual3,cnn2,tdoa,rmse_m,0.3307,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_rms.xlsx
const4-trial1-traj1,const4,trial1,traj1,raw,tdoa,mae_m,0.1395,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj1,const4,trial1,traj1,fnn,tdoa,mae_m,0.1126,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj1,const4,trial1,traj1,cnn1,tdoa,mae_m,0.1008,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj1,const4,trial1,traj1,cnn2,tdoa,mae_m,0.108,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj2,const4,trial1,traj2,raw,tdoa,mae_m,0.1367,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj2,const4,trial1,traj2,fnn,tdoa,mae_m,0.129,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj2,const4,trial1,traj2,cnn1,tdoa,mae_m,0.112,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj2,const4,trial1,traj2,cnn2,tdoa,mae_m,0.1219,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj3,const4,trial1,traj3,raw,tdoa,mae_m,0.1388,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
